Run,Assay Type,AvgSpotLen,Bases,batch,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,tissue
SRR36692431,RNA-Seq,300,6825435900,2,PRJNA1398870,SAMN54465248,1606238380,H4997 B3,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700290,GBA1 IVS/IVS,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436077,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:28:00Z,1,GSM9436077,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692432,RNA-Seq,300,9037348500,1,PRJNA1398870,SAMN54465249,2156814063,H4997 B3,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700289,GBA1 IVS/IVS,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436076,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436076,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692433,RNA-Seq,300,9474149400,3,PRJNA1398870,SAMN54465250,2269819369,H4997 A4,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX31700288,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436075,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436075,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692434,RNA-Seq,300,9963864900,2,PRJNA1398870,SAMN54465251,2373695570,H4997 A4,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700287,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436074,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436074,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692435,RNA-Seq,300,10101483000,1,PRJNA1398870,SAMN54465252,2378616174,H4997 A4,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700286,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436073,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436073,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692436,RNA-Seq,300,10642416600,3,PRJNA1398870,SAMN54465253,2536605520,H4997 A4,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700285,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436072,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436072,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692437,RNA-Seq,300,7481667600,2,PRJNA1398870,SAMN54465254,1794843126,H4997 A4,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700284,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436071,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436071,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692438,RNA-Seq,300,10911391200,1,PRJNA1398870,SAMN54465255,2527587664,H4997 A4,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700283,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436070,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436070,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692439,RNA-Seq,300,8163691500,3,PRJNA1398870,SAMN54465256,1927871717,H4997 clone 6,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700282,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436069,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436069,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692440,RNA-Seq,300,7090214100,2,PRJNA1398870,SAMN54465257,1708758552,H4997 clone 6,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700281,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436068,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436068,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692441,RNA-Seq,300,9638997000,1,PRJNA1398870,SAMN54465258,2252153985,H4997 clone 6,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700280,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436067,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:31:00Z,1,GSM9436067,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692442,RNA-Seq,300,11379240900,3,PRJNA1398870,SAMN54465259,2656620847,H4997 clone 6,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700279,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436066,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436066,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692443,RNA-Seq,300,7794335100,2,PRJNA1398870,SAMN54465260,1857260837,H4997 clone 6,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700278,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436065,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436065,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692444,RNA-Seq,300,7796332500,1,PRJNA1398870,SAMN54465261,1829954582,H4997 clone 6,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700277,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436064,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436064,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692445,RNA-Seq,300,10225974900,3,PRJNA1398870,SAMN54465235,2455229911,H4997 WTRev,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700276,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436090,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436090,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692446,RNA-Seq,300,8866795200,2,PRJNA1398870,SAMN54465236,2043456805,H4997 WTRev,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700275,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436089,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436089,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692447,RNA-Seq,300,10264256400,1,PRJNA1398870,SAMN54465237,2427336589,H4997 WTRev,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700274,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436088,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:31:00Z,1,GSM9436088,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692448,RNA-Seq,300,9998490600,3,PRJNA1398870,SAMN54465262,2380128241,H4997 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700273,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436063,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436063,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692449,RNA-Seq,300,10558869000,2,PRJNA1398870,SAMN54465263,2484643394,H4997 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700272,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436062,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:34:00Z,1,GSM9436062,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692450,RNA-Seq,300,10473222300,1,PRJNA1398870,SAMN54465264,2469119972,H4997 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700271,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436061,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436061,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692451,RNA-Seq,300,9227334000,3,PRJNA1398870,SAMN54465265,2136117407,H4997 clone 2,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700270,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436060,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436060,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692452,RNA-Seq,300,9295446600,2,PRJNA1398870,SAMN54465266,2190286907,H4997 clone 2,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700269,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436059,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436059,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692453,RNA-Seq,300,8001236100,1,PRJNA1398870,SAMN54465267,1870792575,H4997 clone 2,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700268,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436058,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436058,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692454,RNA-Seq,300,10367553000,3,PRJNA1398870,SAMN54465268,2424191872,H4997 clone 1,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700267,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436057,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436057,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692455,RNA-Seq,300,7318087800,2,PRJNA1398870,SAMN54465269,1721849015,H4997 clone 1,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700266,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436056,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436056,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692456,RNA-Seq,300,8342164500,1,PRJNA1398870,SAMN54465270,1937861021,H4997 clone 1,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700265,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436055,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436055,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692457,RNA-Seq,300,7480694700,3,PRJNA1398870,SAMN54465271,1746717880,H4997 clone 1,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700264,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436054,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436054,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692458,RNA-Seq,300,8898864300,2,PRJNA1398870,SAMN54465272,2080242814,H4997 clone 1,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700263,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436053,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:32:00Z,1,GSM9436053,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692459,RNA-Seq,300,8524797900,1,PRJNA1398870,SAMN54465273,1972779019,H4997 clone 1,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700262,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436052,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436052,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692460,RNA-Seq,300,9518134800,3,PRJNA1398870,SAMN54465274,2248388370,H1112 clone 3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700261,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436051,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:33:00Z,1,GSM9436051,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692461,RNA-Seq,300,8788851900,2,PRJNA1398870,SAMN54465275,2093388099,H1112 clone 3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700260,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436050,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436050,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692462,RNA-Seq,300,10454781000,1,PRJNA1398870,SAMN54465276,2477689734,H1112 clone 3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700259,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436049,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436049,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692463,RNA-Seq,300,7976917500,3,PRJNA1398870,SAMN54465277,1887858992,H1112 clone 3,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700258,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436048,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436048,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692464,RNA-Seq,300,8456180700,2,PRJNA1398870,SAMN54465278,1980875189,H1112 clone 3,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700257,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436047,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436047,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692465,RNA-Seq,300,8130699900,1,PRJNA1398870,SAMN54465279,1912038859,H1112 clone 3,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700256,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436046,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436046,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
